iter	Passed	Remaining
0	468	468508
1	471	235343
2	474	157581
3	476	118718
4	486	96775
5	491	81373
6	497	70518
7	505	62620
8	509	56122
9	522	51768
10	544	48927
11	548	45166
12	559	42454
13	562	39599
14	564	37087
15	567	34894
16	570	32968
17	572	31239
18	575	29697
19	580	28453
20	587	27388
21	590	26228
22	592	25163
23	596	24251
24	599	23386
25	602	22558
26	604	21793
27	607	21072
28	610	20426
29	614	19879
30	618	19332
31	623	18849
32	627	18387
33	633	18000
34	636	17538
35	638	17101
36	641	16687
37	643	16299
38	646	15928
39	651	15646
40	654	15304
41	657	14993
42	659	14684
43	662	14394
44	665	14119
45	667	13851
46	671	13606
47	673	13358
48	676	13123
49	678	12894
50	680	12671
51	685	12502
52	695	12419
53	698	12230
54	700	12036
55	706	11913
56	709	11734
57	712	11565
58	714	11395
59	716	11230
60	719	11071
61	725	10973
62	727	10824
63	730	10683
64	734	10566
65	737	10433
66	740	10316
67	743	10192
68	746	10071
69	749	9953
70	752	9844
71	760	9802
72	768	9759
73	770	9647
74	773	9536
75	775	9430
76	781	9366
77	784	9267
78	786	9172
79	1194	13733
80	1356	15394
81	1388	15543
82	1391	15377
83	1407	15351
84	1439	15497
85	1445	15360
86	1483	15568
87	1497	15524
88	1540	15765
89	1553	15708
90	1598	15966
91	1632	16115
92	1740	16971
93	1887	18190
94	2163	20605
95	2172	20455
96	2186	20356
97	2212	20364
98	2219	20198
99	2232	20094
100	2255	20072
101	2262	19921
102	2275	19813
103	2282	19665
104	2296	19578
105	2301	19414
106	2306	19252
107	2310	19081
108	2316	18931
109	2318	18762
110	2321	18591
111	2327	18451
112	2329	18284
113	2331	18121
114	2334	17962
115	2340	17832
116	2342	17676
117	2345	17528
118	2348	17388
119	2362	17326
120	2388	17353
121	2431	17498
122	2440	17403
123	2444	17269
124	2485	17399
125	2489	17271
126	2500	17189
127	2504	17058
128	2508	16934
129	2516	16843
130	2521	16723
131	2523	16595
132	2526	16468
133	2528	16342
134	2537	16261
135	2541	16147
136	2546	16038
137	2558	15979
138	2560	15861
139	2563	15746
140	2566	15632
141	2568	15516
142	2571	15412
143	2576	15313
144	2587	15255
145	2590	15154
146	2594	15057
147	2607	15010
148	2610	14907
149	2612	14806
150	2620	14734
151	2624	14644
152	2628	14552
153	2633	14466
154	2637	14380
155	2640	14285
156	2642	14191
157	2645	14099
158	2664	14095
159	2677	14056
160	2679	13962
161	2691	13923
162	2696	13845
163	2711	13820
164	2715	13740
165	2718	13659
166	2723	13584
167	2735	13545
168	2737	13460
169	2740	13379
170	2742	13297
171	2756	13271
172	2761	13202
173	2772	13162
174	2776	13088
175	2780	13018
176	2791	12981
177	2794	12904
178	2797	12829
179	2799	12753
180	2808	12706
181	2812	12640
182	2816	12574
183	2821	12513
184	2827	12457
185	2830	12386
186	2833	12317
187	2835	12247
188	2848	12223
189	2853	12163
190	2870	12158
191	2874	12096
192	2903	12139
193	2906	12077
194	2926	12080
195	2930	12021
196	2942	11995
197	2952	11960
198	2962	11924
199	2981	11924
200	2991	11890
201	2994	11830
202	2999	11777
203	3010	11748
204	3014	11691
205	3020	11642
206	3049	11680
207	3053	11625
208	3057	11571
209	3060	11514
210	3155	11799
211	3335	12399
212	3389	12522
213	3395	12471
214	3407	12439
215	3428	12443
216	3440	12415
217	3461	12417
218	3470	12378
219	3478	12333
220	3503	12350
221	3509	12299
222	3528	12293
223	3545	12283
224	3558	12258
225	3600	12329
226	3605	12276
227	3611	12227
228	3636	12243
229	3644	12200
230	3655	12170
231	3660	12118
232	3693	12159
233	3717	12169
234	3724	12123
235	3736	12096
236	3756	12092
237	3763	12048
238	3784	12051
239	3790	12003
240	3846	12113
241	3853	12070
242	3887	12110
243	3891	12057
244	3911	12052
245	3923	12025
246	3931	11985
247	3946	11966
248	3953	11924
249	3966	11900
250	3991	11909
251	4008	11898
252	4026	11889
253	4042	11873
254	4058	11857
255	4078	11854
256	4089	11823
257	4128	11872
258	4140	11847
259	4146	11802
260	4159	11777
261	4167	11737
262	4175	11702
263	4179	11651
264	4184	11606
265	4204	11602
266	4239	11637
267	4244	11592
268	4257	11570
269	4264	11529
270	4277	11506
271	4284	11467
272	4297	11445
273	4303	11402
274	4334	11428
275	4349	11410
276	4357	11374
277	4373	11359
278	4397	11363
279	4417	11358
280	4432	11340
281	4438	11301
282	4492	11381
283	4508	11367
284	4515	11327
285	4528	11305
286	4535	11268
287	4546	11240
288	4569	11242
289	4576	11204
290	4589	11181
291	4609	11175
292	4615	11137
293	4626	11108
294	4637	11083
295	4644	11047
296	4650	11008
297	4661	10982
298	4669	10947
299	4678	10916
300	4681	10871
301	4685	10828
302	4689	10786
303	4718	10803
304	4735	10789
305	4742	10756
306	4753	10730
307	4760	10695
308	4807	10749
309	4823	10736
310	4835	10712
311	4840	10674
312	4846	10637
313	4857	10612
314	4864	10578
315	4883	10570
316	4901	10560
317	4913	10538
318	4920	10504
319	4932	10482
320	4937	10444
321	4958	10439
322	4964	10406
323	4967	10364
324	4970	10322
325	4981	10298
326	4984	10258
327	4989	10222
328	5000	10198
329	5003	10159
330	5007	10120
331	5016	10092
332	5018	10052
333	5021	10012
334	5023	9972
335	5026	9933
336	5035	9906
337	5038	9868
338	5054	9856
339	5060	9823
340	5063	9784
341	5065	9746
342	5076	9722
343	5079	9687
344	5084	9652
345	5089	9619
346	5092	9583
347	5096	9548
348	5105	9522
349	5107	9485
350	5110	9449
351	5113	9414
352	5129	9401
353	5143	9385
354	5145	9348
355	5147	9312
356	5150	9276
357	5153	9240
358	5171	9234
359	5179	9208
360	5183	9175
361	5192	9151
362	5195	9117
363	5198	9083
364	5200	9048
365	5203	9013
366	5210	8987
367	5214	8955
368	5221	8928
369	5231	8907
370	5235	8875
371	5260	8880
372	5271	8861
373	5276	8831
374	5278	8798
375	5281	8765
376	5283	8731
377	5291	8707
378	5295	8676
379	5299	8647
380	5303	8616
381	5312	8594
382	5314	8562
383	5317	8530
384	5319	8498
